image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.803.299,46.688.135,5.238.832,2.166.182,403.300
62.744.683,45.694.864,5.228.572,2.163.053,390.697
image_name:kodim22,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.721.291,44.925.326,5.224.291,2.175.643,372.545
62.826.341,44.482.353,5.243.466,2.154.723,377.949
62.738.635,44.618.684,5.227.144,2.204.254,370.614
62.829.062,45.628.427,5.243.873,2.140.487,383.739
62.738.581,44.303.102,5.222.086,2.168.440,367.705
62.710.528,44.639.377,5.218.057,2.174.146,370.633
62.753.578,45.182.754,5.234.505,2.198.562,375.777
62.667.251,44.667.767,5.210.365,2.170.762,369.241
62.773.285,44.799.400,5.238.352,2.169.453,373.156
62.733.880,45.208.489,5.222.330,2.190.735,373.658
image_name:kodim23,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.810.492,45.252.680,5.244.733,2.207.270,378.233
62.751.544,44.264.919,5.225.070,2.174.948,366.652
62.771.643,45.767.974,5.238.440,2.186.538,380.779
62.798.393,44.644.976,5.234.794,2.168.388,377.911
62.721.820,45.240.594,5.229.359,2.222.442,377.195
62.718.888,44.725.948,5.219.824,2.213.290,371.061
62.762.191,45.478.966,5.237.110,2.210.904,374.365
62.727.698,45.770.065,5.220.869,2.200.848,384.704
62.777.246,45.288.302,5.239.228,2.236.656,374.445
62.683.913,44.737.140,5.212.747,2.199.858,371.379
image_name:kodim24,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.810.958,43.840.008,5.235.109,2.178.717,392.633
62.933.318,45.599.668,5.265.163,2.217.499,383.163
62.824.647,45.636.300,5.256.092,2.188.366,382.039
62.787.446,45.124.877,5.249.525,2.222.573,374.189
62.730.283,44.681.411,5.220.948,2.204.107,370.407
62.827.305,45.054.812,5.256.440,2.183.946,380.064
62.680.100,44.794.857,5.212.453,2.195.643,372.458
62.820.943,45.358.367,5.255.580,2.215.246,378.634
62.676.340,44.668.784,5.211.153,2.197.323,368.923
62.780.936,44.771.289,5.235.253,2.178.770,375.160
