image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
185.458.602,60.184.207,10.893.154,65.153,28.852,"0,018409369"
185.188.294,57.752.505,10.839.834,53.981,25.413,"0,017923953"
185.143.800,57.494.789,10.831.881,55.567,25.731,"0,017423982"
image_name:kodim19,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
185.217.913,62.965.858,10.843.195,66.619,23.292,"0,019532007"
185.271.495,56.882.841,10.856.767,51.410,22.296,"0,017146079"
185.239.801,56.741.709,10.847.646,54.653,23.411,"0,017054203"
185.192.106,57.134.837,10.839.280,54.818,22.638,"0,017475787"
185.205.091,56.818.689,10.841.804,54.118,20.760,"0,017167504"
185.410.235,58.766.372,10.881.648,54.848,23.313,"0,017792054"
185.490.365,60.682.143,10.896.893,64.596,27.553,"0,018478711"
185.551.424,60.854.328,10.907.997,64.563,28.438,"0,018860157"
185.555.510,61.225.972,10.908.723,68.059,26.534,"0,019344500"
185.555.830,61.155.716,10.908.933,72.457,30.059,"0,019469003"
image_name:kodim20,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.556.050,62.800.777,10.895.181,65.518,28.645,"0,019329589"
199.233.100,61.809.357,10.834.091,56.776,26.469,"0,018584948"
199.437.618,60.615.049,10.872.133,67.793,27.235,"0,018444833"
199.250.330,59.843.014,10.837.890,60.994,23.454,"0,018449808"
199.522.992,58.768.985,10.891.088,52.910,21.639,"0,017643365"
199.315.213,60.699.611,10.849.619,66.363,25.899,"0,018516429"
199.256.125,60.241.641,10.839.188,59.988,21.434,"0,018397811"
199.591.588,62.880.492,10.902.867,66.524,29.643,"0,019914066"
199.577.695,59.987.410,10.901.301,56.551,27.724,"0,018759978"
199.590.802,64.749.041,10.902.350,82.218,29.576,"0,020211114"
image_name:kodim21,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.442.941,60.241.214,10.875.136,54.239,24.508,"0,018977343"
199.359.166,60.605.253,10.855.838,54.563,21.554,"0,018624703"
199.260.912,59.647.262,10.837.481,51.591,22.335,"0,017322047"
199.286.974,59.617.078,10.843.719,53.328,23.016,"0,019752020"
199.245.762,61.700.016,10.835.790,53.475,22.887,"0,018382902"
199.278.929,61.031.198,10.841.758,59.903,23.780,"0,019023070"
199.253.889,59.840.227,10.836.599,50.619,22.111,"0,019084201"
